compra,venta,img_url,companny_name,time
3.658,3.831,https://cuantoestaeldolar.pe/icons/scotiabank.svg,scotiabank,13:41:40
3.693,3.701,https://cuantoestaeldolar.pe/icons/bcp.svg,bcp,13:41:40
3.7,3.819,https://cuantoestaeldolar.pe/icons/interbank.svg,interbank,13:41:40
3.69,3.76,https://cuantoestaeldolar.pe/icons/bn.svg,bn,13:41:40
3.672,3.818,https://cuantoestaeldolar.pe/icons/bbva.svg,bbva,13:41:40
3.658,3.831,https://cuantoestaeldolar.pe/icons/scotiabank.svg,scotiabank,13:45:54
3.693,3.701,https://cuantoestaeldolar.pe/icons/bcp.svg,bcp,13:45:54
3.7,3.819,https://cuantoestaeldolar.pe/icons/interbank.svg,interbank,13:45:54
3.69,3.76,https://cuantoestaeldolar.pe/icons/bn.svg,bn,13:45:54
3.672,3.818,https://cuantoestaeldolar.pe/icons/bbva.svg,bbva,13:45:54
3.658,3.831,https://cuantoestaeldolar.pe/icons/scotiabank.svg,scotiabank,13:46:25
3.693,3.701,https://cuantoestaeldolar.pe/icons/bcp.svg,bcp,13:46:25
3.700,3.819,https://cuantoestaeldolar.pe/icons/interbank.svg,interbank,13:46:25
3.690,3.760,https://cuantoestaeldolar.pe/icons/bn.svg,bn,13:46:25
3.672,3.818,https://cuantoestaeldolar.pe/icons/bbva.svg,bbva,13:46:25
