actualizacion,trash1,compra,variacion_compra,venta,variacion_venta,img_url,companny_url,companny_name,time,img,banks,days_open,last_updated,buy_cost,buy_variation,sale_cost,sale_variation
57 seg,Cambiar,3.739,0.0,3.752,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1702304946735-dollar-house-v2.svg,https://dollarhouse.pe/?utm_source=ced,dollarhouse,11:31:20,,,,,,,,
44 seg,Cambiar,3.732,0.0,3.759,0.0,https://cuantoestaeldolar.pe/_next/image?url=https%3A%2F%2Fs3-ced-uploads-01.s3.amazonaws.com%2F1700582494591-rextie.png&w=256&q=75,https://web.rextie.com/registrate?utm_source=cuanto-esta-el-dolar&utm_medium=hubspot&utm_campaign=cuanto-esta-el-dolar&utm_term=listado&utm_content=,rextie,11:31:20,,,,,,,,
57 seg,Cambiar,3.738,0.0,3.753,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703001286669-cambiafx_v2.svg,https://cambiafx.pe/?utm_source=display&utm_medium=banner&utm_campaign=Cuanto_esta_el_Dolar&utm_content=boton_cambiar,cambiafx,11:31:20,,,,,,,,
5 min,Cambiar,3.742,0.001,3.746,0.001,https://s3-ced-uploads-01.s3.amazonaws.com/1706405397247-cambiomundial-2.svg,https://www.cambiomundial.com/?utm_source=ced,cambiomundial,11:31:20,,,,,,,,
2 horas,Cambiar,3.725,-0.01,3.765,0.016,https://s3-ced-uploads-01.s3.amazonaws.com/1703001387470-mpodera.svg,https://mpodera.pe/?utm_source=ced,mpodera,11:31:20,,,,,,,,
7 min,Cambiar,3.74,0.0,3.75,-0.004,https://s3-ced-uploads-01.s3.amazonaws.com/1703885579335-okane.svg,https://www.okanecambiodigital.com/?utm_source=ced,okanecambiodigital,11:31:20,,,,,,,,
1 min,Cambiar,3.739,-0.001,3.745,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703885241775-dichikash.svg,https://dichikash.com/?utm_source=ced,dichikash,11:31:20,,,,,,,,
8 min,Cambiar,3.738,0.001,3.75,0.001,https://s3-ced-uploads-01.s3.amazonaws.com/1703885660214-chapa-cambio.svg,https://chapacambio.com/?c=CHAPACUANTO,chapacambio,11:31:20,,,,,,,,
57 seg,Cambiar,3.732,0.0,3.753,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703611552019-western-union.svg,https://westernunionperu.pe/cambiodemoneda?utm_source=ced&utm_content=listado,westernunionperu,11:31:20,,,,,,,,
13 min,Cambiar,3.74,-0.001,3.749,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1706407302313-dolarex.svg,https://dolarex.pe/?utm_source=ced,dolarex,11:31:20,,,,,,,,
