compra,venta,img_url,companny_name,time,name,type,buy_cost,buy_variation,sale_cost,sale_variation
3.658,3.829,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:19:56,,,,,,
3.7,3.787,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:19:56,,,,,,
3.678,3.789,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:19:56,,,,,,
3.71,3.78,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:19:56,,,,,,
3.67,3.817,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:19:56,,,,,,
,,,,08:20:00,scotiabank,bank,3.658,0.01,3.829,0.0
,,,,08:20:00,bbva,bank,3.67,0.004,3.817,0.002
,,,,08:20:00,Interbank,bank,3.678,0.005,3.789,0.001
,,,,08:20:00,bcp,bank,3.7,0.004,3.787,0.002
,,,,08:20:00,nacion,bank,3.71,0.0,3.78,0.0
,,,,08:20:00,Yuan,currency,0.46,-0.01,0.54,-0.01
,,,,08:20:00,canada,currency,2.69,0.05,2.8,0.0
,,,,08:20:00,euro ocoña,currency,4.171,0.001,4.19,0.0
,,,,08:20:00,Libra,currency,4.86,-0.02,4.99,-0.02
3.658,3.829,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:54:08,,,,,,
3.7,3.787,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:54:08,,,,,,
3.678,3.789,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:54:08,,,,,,
3.71,3.78,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:54:08,,,,,,
3.67,3.817,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",yH5BAEAAAAALAAAAAABAAEAAAIBRAA7,08:54:08,,,,,,
,,,,08:54:14,scotiabank,bank,3.658,0.01,3.829,0.0
,,,,08:54:14,bbva,bank,3.67,0.004,3.817,0.002
,,,,08:54:14,Interbank,bank,3.678,0.005,3.789,0.001
,,,,08:54:14,bcp,bank,3.7,0.004,3.787,0.002
,,,,08:54:14,nacion,bank,3.71,0.0,3.78,0.0
,,,,08:54:14,Yuan,currency,0.46,-0.01,0.54,-0.01
,,,,08:54:14,canada,currency,2.69,0.05,2.8,0.0
,,,,08:54:14,euro ocoña,currency,4.171,0.001,4.19,0.0
,,,,08:54:14,Libra,currency,4.86,-0.02,4.99,-0.02
