name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.682,-0.022,3.834,0.003,08:43:22,22-10-2024
scotiabank,bank,3.682,0.01,3.853,0.008,08:43:22,22-10-2024
bcp,bank,3.723,-0.002,3.809,-0.002,08:43:22,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:43:22,22-10-2024
Interbank,bank,3.735,-0.012,3.795,0.006,08:43:22,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,08:43:22,22-10-2024
canada,currency,2.68,0.0,2.8,-0.01,08:43:22,22-10-2024
euro ocoña,currency,4.223,-0.001,4.242,-0.003,08:43:22,22-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,08:43:22,22-10-2024
scotiabank,bank,3.682,0.01,3.853,0.008,09:24:17,22-10-2024
bbva,bank,3.699,0.017,3.83,-0.004,09:24:17,22-10-2024
bcp,bank,3.72,-0.003,3.81,0.001,09:24:17,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,09:24:17,22-10-2024
Interbank,bank,3.74,0.005,3.79,-0.005,09:24:17,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,09:24:17,22-10-2024
canada,currency,2.68,0.0,2.8,-0.01,09:24:17,22-10-2024
euro ocoña,currency,4.223,-0.001,4.242,-0.003,09:24:17,22-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,09:24:17,22-10-2024
scotiabank,bank,3.679,-0.003,3.854,0.001,09:41:50,22-10-2024
bbva,bank,3.699,0.017,3.83,-0.004,09:41:50,22-10-2024
bcp,bank,3.72,-0.003,3.81,0.001,09:41:50,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,09:41:50,22-10-2024
Interbank,bank,3.74,0.005,3.79,-0.005,09:41:50,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,09:41:50,22-10-2024
canada,currency,2.68,0.0,2.8,-0.01,09:41:50,22-10-2024
euro ocoña,currency,4.223,-0.001,4.242,-0.003,09:41:50,22-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,09:41:50,22-10-2024
scotiabank,bank,3.679,-0.003,3.854,0.001,10:25:32,22-10-2024
bbva,bank,3.699,0.017,3.83,-0.004,10:25:32,22-10-2024
bcp,bank,3.72,-0.003,3.81,0.001,10:25:32,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,10:25:32,22-10-2024
Interbank,bank,3.74,0.005,3.79,-0.005,10:25:32,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,10:25:32,22-10-2024
canada,currency,2.68,0.0,2.8,-0.01,10:25:32,22-10-2024
euro ocoña,currency,4.223,-0.001,4.242,-0.003,10:25:32,22-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,10:25:32,22-10-2024
scotiabank,bank,3.679,-0.003,3.854,0.001,10:42:39,22-10-2024
bbva,bank,3.699,0.017,3.83,-0.004,10:42:39,22-10-2024
bcp,bank,3.72,-0.003,3.81,0.001,10:42:39,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,10:42:39,22-10-2024
Interbank,bank,3.74,0.005,3.79,-0.005,10:42:39,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,10:42:39,22-10-2024
canada,currency,2.68,0.0,2.8,-0.01,10:42:39,22-10-2024
euro ocoña,currency,4.215,-0.008,4.235,-0.007,10:42:39,22-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,10:42:39,22-10-2024
scotiabank,bank,3.679,-0.003,3.854,0.001,11:30:10,22-10-2024
bbva,bank,3.699,0.017,3.83,-0.004,11:30:10,22-10-2024
bcp,bank,3.72,-0.003,3.81,0.001,11:30:10,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,11:30:10,22-10-2024
Interbank,bank,3.74,0.005,3.79,-0.005,11:30:10,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,11:30:10,22-10-2024
canada,currency,2.68,0.0,2.8,-0.01,11:30:10,22-10-2024
euro ocoña,currency,4.215,-0.008,4.235,-0.007,11:30:10,22-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,11:30:10,22-10-2024
scotiabank,bank,3.679,-0.003,3.854,0.001,11:47:15,22-10-2024
bbva,bank,3.699,0.017,3.83,-0.004,11:47:15,22-10-2024
bcp,bank,3.72,-0.003,3.81,0.001,11:47:15,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,11:47:15,22-10-2024
Interbank,bank,3.74,0.005,3.79,-0.005,11:47:15,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,11:47:15,22-10-2024
canada,currency,2.68,0.0,2.8,-0.01,11:47:15,22-10-2024
euro ocoña,currency,4.213,-0.002,4.23,-0.005,11:47:15,22-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,11:47:15,22-10-2024
scotiabank,bank,3.679,-0.003,3.854,0.001,12:21:52,22-10-2024
bbva,bank,3.689,-0.01,3.816,-0.014,12:21:52,22-10-2024
bcp,bank,3.71,-0.01,3.796,-0.014,12:21:52,22-10-2024
nacion,bank,3.73,0.0,3.8,0.0,12:21:52,22-10-2024
Interbank,bank,3.732,-0.008,3.774,-0.016,12:21:52,22-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,12:21:52,22-10-2024
